Ageing Time,C1,C2,C3,C4,C5,C6,C7,C8
0,89.2,90.5,91.1,88.6,89.14,84.6,92.6,88.2
2,86.8,88.5,89.1,86.9,87.1,83.1,90.7,86.3
6,85.5,87.3,87.7,86,86.1,81.3,88.7,85
14,84.3,86.3,86.4,85.3,85.2,80.1,87.5,83.6
22,82.8,85.4,86.2,84.3,84.7,78.8,87,83
30,80.4,83.6,85.3,83.4,83.5,76.9,85.7,81.3
46,78.9,83.3,83.9,82.3,82.6,75.2,84.5,80
70,76.6,81.3,82.7,80.6,80.7,72.7,82.9,77.8
94,74.8,79.5,81.9,79.5,79.9,71.1,80.5,77
118,71.4,77.7,79.9,76.9,76.8,66.5,79.5,73.2
142,69.7,77,79.4,76.6,76.3,65.8,79,72.7
166,67.7,75.4,78.8,75,74.6,63.5,77.6,70.8
190,67,74.2,77.9,74,73.2,62.7,76.9,70
214,66,72.9,76.3,72.5,71.8,60.2,75.7,68.4
238,64,71.22,75.5,70.7,69.9,58.2,73.5,66.75
262,63.3,70.9,74.56,70.4,69.7,57.7,71.99,65.8
286,62.4,70.6,74.3,70.1,69.3,57.2,71.6,64.9
310,62.3,69.9,73.8,69.8,68.2,56.7,70.9,64.3
334,61.6,68.3,72.5,67.8,66.7,55.6,69.5,63.9
358,61.26,67.8,71.8,66.73,65.9,54.9,68.8,62.7
382,60.36,66.8,71.7,65.6,65.8,54.3,68.7,62.2
406,59.9,66,71.2,64.7,65.1,53.4,68.5,61.2
430,58.8,63.5,70.4,63.8,64,51.7,67.3,59.7
478,55.4,57.8,69.3,59.5,62.5,48.8,65.2,58.6
560,52.2,52.1,67,55,59.6,45.2,62.4,55.3
